I_wm2,Wav_cm3_fs,Wpi_cm3_fs,diagnostic_only,ne_total_cm3,time_s
9.864763518837074e+16,170182184596.70886,687839902654237.9,True,2.185588514762856e+16,7.007786429365979e-15
9.83799723546349e+16,176875137017.77124,677929991618338.0,True,2.2311806690640276e+16,7.67519466073416e-15
9.808880475932213e+16,183521792780.69843,667270367509745.8,True,2.2760866540200372e+16,8.342602892102342e-15
9.777434557439504e+16,190102559427.47876,655898293908785.6,True,2.3202576600589516e+16,9.010011123470523e-15
9.743682454473533e+16,196598017079.9469,643853248556308.2,True,2.3636474382957656e+16,9.677419354838755e-15
9.707648770843496e+16,202989048022.6468,631176719410832.2,True,2.4062124415882744e+16,1.0344827586206936e-14
9.669359709793397e+16,209256962991.7942,617911989466697.6,True,2.447911951596241e+16,1.1012235817575117e-14
9.62884304225137e+16,215383622808.72998,604103911571358.1,True,2.4887081911559004e+16,1.1679644048943299e-14
9.58612807326832e+16,221351554064.76605,589798674614933.5,True,2.5285664213411292e+16,1.234705228031148e-14
9.541245606702718e+16,227144057654.52475,575043562592874.9,True,2.567455022666988e+16,1.3014460511679661e-14
9.494227908211061e+16,232745309072.1169,559886708160475.5,True,2.6053455600374696e+16,1.3681868743047842e-14
9.445108666606238e+16,238140449504.71548,544376842401629.44,True,2.6422128311189708e+16,1.4349276974416024e-14
9.393922953648589e+16,243315666894.75912,528563042620688.0,True,2.678034897928069e+16,1.5016685205784205e-14
9.340707182336757e+16,248258266298.1505,512494480032793.0,True,2.7127931015835492e+16,1.5684093437152437e-14
9.285499063767781e+16,252956729015.40146,496220169271666.25,True,2.7464720602577484e+16,1.6351501668520618e-14
9.228337562637872e+16,257400760156.92618,479788721652829.0,True,2.779059650613837e+16,1.70189098998888e-14
9.169262851457366e+16,261581324406.45938,463248104123552.94,True,2.8105469728151424e+16,1.768631813125698e-14
9.108316263555064e+16,265490670006.011,446645405796821.75,True,2.8409282998510184e+16,1.8353726362625162e-14
9.045540244948818e+16,269122341028.40598,430026613906225.8,True,2.8702010114239948e+16,1.9021134593993343e-14
8.980978305160709e+16,272470984346.86646,413400790462456.5,True,2.8983644819770576e+16,1.9688542825361524e-14
8.914674967056477e+16,275532654317.437,396884505902783.1,True,2.9254216670953856e+16,2.0355951056729706e-14
8.846675715789957e+16,278305077355.09314,380481347135645.8,True,2.9513804970138824e+16,2.1023359288097887e-14
8.777026946934299e+16,280786826235.49384,364230896160904.06,True,2.976249534380059e+16,2.169076751946612e-14
8.705775913882578e+16,282977748907.5418,348170711761601.5,True,3.000040336129042e+16,2.23581757508343e-14
8.632970674600885e+16,284878813361.5026,332336194026308.56,True,3.022766742711375e+16,2.302558398220248e-14
8.55866003781774e+16,286492086402.12335,316760467451093.9,True,3.0444449079885016e+16,2.3692992213570663e-14
8.482893508733664e+16,287820670051.6851,301474283188669.0,True,3.0650931307291276e+16,2.4360400444938844e-14
8.405721234335094e+16,288868631895.14655,286505940796564.1,True,3.084731676300086e+16,2.5027808676307025e-14
